trial name,items,id,type,threads,completion time,service time,bandwidth,speedup,scalability,efficiency
house720-h1-3iter-stream,84,3,threads_pin,3,1169755,13925.65,0,2.06,1.94,.68
house720-h1-3iter-stream,84,3,threads_pin,4,1112946,13249.35,0,2.16,2.03,.54
house720-h1-3iter-stream,84,3,threads_pin,5,832535,9911.13,0,2.89,2.72,.57
house720-h1-3iter-stream,84,3,threads_pin,6,821195,9776.13,0,2.93,2.76,.48
house720-h1-3iter-stream,84,3,threads_pin,7,685385,8159.34,0,3.51,3.31,.50
house720-h1-3iter-stream,84,3,threads_pin,8,677158,8061.40,0,3.56,3.35,.44
house720-h1-3iter-stream,84,3,threads_pin,9,618371,7361.55,0,3.90,3.67,.43
house720-h1-3iter-stream,84,3,threads_pin,10,608513,7244.20,0,3.96,3.73,.39
house720-h1-3iter-stream,84,3,threads_pin,11,540993,6440.39,0,4.45,4.19,.40
house720-h1-3iter-stream,84,3,threads_pin,12,529905,6308.39,0,4.55,4.28,.37
house720-h1-3iter-stream,84,3,threads_pin,13,485855,5783.98,0,4.96,4.67,.38
house720-h1-3iter-stream,84,3,threads_pin,14,501888,5974.85,0,4.80,4.52,.34
house720-h1-3iter-stream,84,3,threads_pin,15,479175,5704.46,0,5.03,4.73,.33
house720-h1-3iter-stream,84,3,threads_pin,16,483409,5754.86,0,4.99,4.69,.31
house720-h1-3iter-stream,84,3,threads_pin,17,490164,5835.28,0,4.92,4.63,.28
house720-h1-3iter-stream,84,3,threads_pin,18,487309,5801.29,0,4.95,4.65,.27
house720-h1-3iter-stream,84,3,threads_pin,19,550563,6554.32,0,4.38,4.12,.23
house720-h1-3iter-stream,84,3,threads_pin,20,508402,6052.40,0,4.74,4.46,.23
house720-h1-3iter-stream,84,3,threads_pin,21,511267,6086.51,0,4.71,4.43,.22
house720-h1-3iter-stream,84,3,threads_pin,22,530317,6313.29,0,4.54,4.28,.20
house720-h1-3iter-stream,84,3,threads_pin,23,515873,6141.34,0,4.67,4.39,.20
house720-h1-3iter-stream,84,3,threads_pin,24,538779,6414.03,0,4.47,4.21,.18
house720-h1-3iter-stream,84,3,threads_pin,25,505048,6012.47,0,4.77,4.49,.19
house720-h1-3iter-stream,84,3,threads_pin,26,486142,5787.40,0,4.96,4.66,.19
house720-h1-3iter-stream,84,3,threads_pin,27,503334,5992.07,0,4.79,4.50,.17
house720-h1-3iter-stream,84,3,threads_pin,28,562641,6698.10,0,4.28,4.03,.15
house720-h1-3iter-stream,84,3,threads_pin,29,502388,5980.80,0,4.80,4.51,.16
house720-h1-3iter-stream,84,3,threads_pin,30,555621,6614.53,0,4.34,4.08,.14
house720-h1-3iter-stream,84,3,threads_pin,31,518879,6177.13,0,4.64,4.37,.14
house720-h1-3iter-stream,84,3,threads_pin,32,537514,6398.97,0,4.48,4.22,.14

door1080-h1-3iter-stream,924,1,seq,1,63904727,69160.95,0,1,1,1
door1080-h1-3iter-stream,924,1,threads,1,53648579,58061.23,0,1.19,1.00,1.19
door1080-h1-3iter-stream,924,1,threads,2,29985286,32451.60,0,2.13,1.78,1.06
door1080-h1-3iter-stream,924,1,threads,3,20337184,22009.93,0,3.14,2.63,1.04
door1080-h1-3iter-stream,924,1,threads,4,20746494,22452.91,0,3.08,2.58,.77
door1080-h1-3iter-stream,924,1,threads,5,14834111,16054.23,0,4.30,3.61,.86
door1080-h1-3iter-stream,924,1,threads,6,10577787,11447.82,0,6.04,5.07,1.00
door1080-h1-3iter-stream,924,1,threads,7,10101715,10932.59,0,6.32,5.31,.90
door1080-h1-3iter-stream,924,1,threads,8,8894981,9626.60,0,7.18,6.03,.89
door1080-h1-3iter-stream,924,1,threads,9,8425710,9118.73,0,7.58,6.36,.84
door1080-h1-3iter-stream,924,1,threads,10,7816875,8459.82,0,8.17,6.86,.81
door1080-h1-3iter-stream,924,1,threads,11,7188039,7779.26,0,8.89,7.46,.80
door1080-h1-3iter-stream,924,1,threads,12,7100414,7684.43,0,9.00,7.55,.75
door1080-h1-3iter-stream,924,1,threads,13,6943013,7514.08,0,9.20,7.72,.70
door1080-h1-3iter-stream,924,1,threads,14,6765947,7322.45,0,9.44,7.92,.67
door1080-h1-3iter-stream,924,1,threads,15,6741639,7296.14,0,9.47,7.95,.63
door1080-h1-3iter-stream,924,1,threads,16,6492694,7026.72,0,9.84,8.26,.61
door1080-h1-3iter-stream,924,1,threads,17,6737766,7291.95,0,9.48,7.96,.55
door1080-h1-3iter-stream,924,1,threads,18,6321110,6841.02,0,10.10,8.48,.56
door1080-h1-3iter-stream,924,1,threads,19,6353332,6875.90,0,10.05,8.44,.52
door1080-h1-3iter-stream,924,1,threads,20,6952167,7523.99,0,9.19,7.71,.45
door1080-h1-3iter-stream,924,1,threads,21,6963325,7536.06,0,9.17,7.70,.43
door1080-h1-3iter-stream,924,1,threads,22,6890742,7457.51,0,9.27,7.78,.42
door1080-h1-3iter-stream,924,1,threads,23,6933795,7504.10,0,9.21,7.73,.40
door1080-h1-3iter-stream,924,1,threads,24,7117430,7702.84,0,8.97,7.53,.37
door1080-h1-3iter-stream,924,1,threads,25,6966912,7539.94,0,9.17,7.70,.36
door1080-h1-3iter-stream,924,1,threads,26,6806812,7366.67,0,9.38,7.88,.36
door1080-h1-3iter-stream,924,1,threads,27,6793053,7351.78,0,9.40,7.89,.34
door1080-h1-3iter-stream,924,1,threads,28,6378494,6903.13,0,10.01,8.41,.35
door1080-h1-3iter-stream,924,1,threads,29,6884281,7450.52,0,9.28,7.79,.32
door1080-h1-3iter-stream,924,1,threads,30,6645815,7192.44,0,9.61,8.07,.32
door1080-h1-3iter-stream,924,1,threads,31,6723277,7276.27,0,9.50,7.97,.30
door1080-h1-3iter-stream,924,1,threads,32,7723080,8358.31,0,8.27,6.94,.25
door1080-h1-3iter-stream,924,1,threads_pin,1,55266963,59812.73,0,1.15,1.00,1.15
door1080-h1-3iter-stream,924,1,threads_pin,2,47618645,51535.33,0,1.34,1.16,.67
door1080-h1-3iter-stream,924,1,threads_pin,3,27352380,29602.14,0,2.33,2.02,.77
door1080-h1-3iter-stream,924,1,threads_pin,4,25731352,27847.78,0,2.48,2.14,.62
door1080-h1-3iter-stream,924,1,threads_pin,5,19617080,21230.60,0,3.25,2.81,.65
door1080-h1-3iter-stream,924,1,threads_pin,6,17167922,18580.00,0,3.72,3.21,.62
door1080-h1-3iter-stream,924,1,threads_pin,7,13327156,14423.32,0,4.79,4.14,.68
door1080-h1-3iter-stream,924,1,threads_pin,8,12619164,13657.10,0,5.06,4.37,.63
door1080-h1-3iter-stream,924,1,threads_pin,9,10809801,11698.91,0,5.91,5.11,.65
door1080-h1-3iter-stream,924,1,threads_pin,10,10778539,11665.08,0,5.92,5.12,.59
door1080-h1-3iter-stream,924,1,threads_pin,11,9810081,10616.97,0,6.51,5.63,.59
door1080-h1-3iter-stream,924,1,threads_pin,12,9237150,9996.91,0,6.91,5.98,.57
door1080-h1-3iter-stream,924,1,threads_pin,13,8041991,8703.45,0,7.94,6.87,.61
door1080-h1-3iter-stream,924,1,threads_pin,14,7977488,8633.64,0,8.01,6.92,.57
door1080-h1-3iter-stream,924,1,threads_pin,15,6960309,7532.80,0,9.18,7.94,.61
door1080-h1-3iter-stream,924,1,threads_pin,16,6720599,7273.37,0,9.50,8.22,.59
door1080-h1-3iter-stream,924,1,threads_pin,17,6229242,6741.60,0,10.25,8.87,.60
door1080-h1-3iter-stream,924,1,threads_pin,18,6645051,7191.61,0,9.61,8.31,.53
door1080-h1-3iter-stream,924,1,threads_pin,19,6786832,7345.05,0,9.41,8.14,.49
door1080-h1-3iter-stream,924,1,threads_pin,20,6306051,6824.73,0,10.13,8.76,.50
door1080-h1-3iter-stream,924,1,threads_pin,21,6677258,7226.46,0,9.57,8.27,.45
door1080-h1-3iter-stream,924,1,threads_pin,22,7114899,7700.10,0,8.98,7.76,.40
door1080-h1-3iter-stream,924,1,threads_pin,23,7437615,8049.36,0,8.59,7.43,.37
door1080-h1-3iter-stream,924,1,threads_pin,24,7005265,7581.45,0,9.12,7.88,.38
door1080-h1-3iter-stream,924,1,threads_pin,25,6813474,7373.88,0,9.37,8.11,.37
door1080-h1-3iter-stream,924,1,threads_pin,26,6513538,7049.28,0,9.81,8.48,.37
door1080-h1-3iter-stream,924,1,threads_pin,27,6536821,7074.48,0,9.77,8.45,.36
door1080-h1-3iter-stream,924,1,threads_pin,28,6803809,7363.42,0,9.39,8.12,.33
door1080-h1-3iter-stream,924,1,threads_pin,29,6607799,7151.29,0,9.67,8.36,.33
door1080-h1-3iter-stream,924,1,threads_pin,30,6800183,7359.50,0,9.39,8.12,.31
door1080-h1-3iter-stream,924,1,threads_pin,31,6697354,7248.21,0,9.54,8.25,.30
door1080-h1-3iter-stream,924,1,threads_pin,32,6877883,7443.59,0,9.29,8.03,.29

door1080-h1-3iter-stream,924,2,seq,1,57247282,61955.93,0,1,1,1
door1080-h1-3iter-stream,924,2,threads,1,53462361,57859.69,0,1.07,1.00,1.07
door1080-h1-3iter-stream,924,2,threads,2,28221030,30542.24,0,2.02,1.89,1.01
door1080-h1-3iter-stream,924,2,threads,3,18454775,19972.70,0,3.10,2.89,1.03
door1080-h1-3iter-stream,924,2,threads,4,14441133,15628.93,0,3.96,3.70,.99
door1080-h1-3iter-stream,924,2,threads,5,14916754,16143.67,0,3.83,3.58,.76
door1080-h1-3iter-stream,924,2,threads,6,11259544,12185.65,0,5.08,4.74,.84
door1080-h1-3iter-stream,924,2,threads,7,11102706,12015.91,0,5.15,4.81,.73
door1080-h1-3iter-stream,924,2,threads,8,9119660,9869.76,0,6.27,5.86,.78
door1080-h1-3iter-stream,924,2,threads,9,8741266,9460.24,0,6.54,6.11,.72
door1080-h1-3iter-stream,924,2,threads,10,7954287,8608.53,0,7.19,6.72,.71
door1080-h1-3iter-stream,924,2,threads,11,7369524,7975.67,0,7.76,7.25,.70
door1080-h1-3iter-stream,924,2,threads,12,7008362,7584.80,0,8.16,7.62,.68
door1080-h1-3iter-stream,924,2,threads,13,6982239,7556.53,0,8.19,7.65,.63
door1080-h1-3iter-stream,924,2,threads,14,6870458,7435.56,0,8.33,7.78,.59
door1080-h1-3iter-stream,924,2,threads,15,7110027,7694.83,0,8.05,7.51,.53
door1080-h1-3iter-stream,924,2,threads,16,6990087,7565.02,0,8.18,7.64,.51
door1080-h1-3iter-stream,924,2,threads,17,6929239,7499.17,0,8.26,7.71,.48
door1080-h1-3iter-stream,924,2,threads,18,7517722,8136.06,0,7.61,7.11,.42
door1080-h1-3iter-stream,924,2,threads,19,7032902,7611.36,0,8.13,7.60,.42
door1080-h1-3iter-stream,924,2,threads,20,7147314,7735.18,0,8.00,7.48,.40
door1080-h1-3iter-stream,924,2,threads,21,6971724,7545.15,0,8.21,7.66,.39
door1080-h1-3iter-stream,924,2,threads,22,7635352,8263.36,0,7.49,7.00,.34
door1080-h1-3iter-stream,924,2,threads,23,7522272,8140.98,0,7.61,7.10,.33
door1080-h1-3iter-stream,924,2,threads,24,7701082,8334.50,0,7.43,6.94,.30
door1080-h1-3iter-stream,924,2,threads,25,7337095,7940.57,0,7.80,7.28,.31
door1080-h1-3iter-stream,924,2,threads,26,7405320,8014.41,0,7.73,7.21,.29
door1080-h1-3iter-stream,924,2,threads,27,7393667,8001.80,0,7.74,7.23,.28
door1080-h1-3iter-stream,924,2,threads,28,7614813,8241.13,0,7.51,7.02,.26
door1080-h1-3iter-stream,924,2,threads,29,7302078,7902.68,0,7.83,7.32,.27
door1080-h1-3iter-stream,924,2,threads,30,8242736,8920.70,0,6.94,6.48,.23
door1080-h1-3iter-stream,924,2,threads,31,7858716,8505.10,0,7.28,6.80,.23
door1080-h1-3iter-stream,924,2,threads,32,8621460,9330.58,0,6.64,6.20,.20
door1080-h1-3iter-stream,924,2,threads_pin,1,58971224,63821.67,0,.97,1.00,.97
door1080-h1-3iter-stream,924,2,threads_pin,2,48371338,52349.93,0,1.18,1.21,.59
door1080-h1-3iter-stream,924,2,threads_pin,3,27714498,29994.04,0,2.06,2.12,.68
door1080-h1-3iter-stream,924,2,threads_pin,4,25417440,27508.05,0,2.25,2.32,.56
door1080-h1-3iter-stream,924,2,threads_pin,5,18133651,19625.16,0,3.15,3.25,.63
door1080-h1-3iter-stream,924,2,threads_pin,6,17814768,19280.05,0,3.21,3.31,.53
door1080-h1-3iter-stream,924,2,threads_pin,7,15198659,16448.76,0,3.76,3.88,.53
door1080-h1-3iter-stream,924,2,threads_pin,8,14499495,15692.09,0,3.94,4.06,.49
door1080-h1-3iter-stream,924,2,threads_pin,9,12367919,13385.19,0,4.62,4.76,.51
door1080-h1-3iter-stream,924,2,threads_pin,10,11698499,12660.71,0,4.89,5.04,.48
door1080-h1-3iter-stream,924,2,threads_pin,11,9978820,10799.58,0,5.73,5.90,.52
door1080-h1-3iter-stream,924,2,threads_pin,12,9817830,10625.35,0,5.83,6.00,.48
door1080-h1-3iter-stream,924,2,threads_pin,13,8569829,9274.70,0,6.68,6.88,.51
